week,mode,prep,susceptible_1,acute_1,chronic_1,aids_1,dead_1,susceptible_2,acute_2,chronic_2,aids_2,dead_2,susceptible_3,acute_3,chronic_3,aids_3,dead_3,susceptible_4,acute_4,chronic_4,aids_4,dead_4,susceptible_5,acute_5,chronic_5,aids_5,dead_5,susceptible_6,acute_6,chronic_6,aids_6,dead_6,susceptible_7,acute_7,chronic_7,aids_7,dead_7,susceptible_8,acute_8,chronic_8,aids_8,dead_8,susceptible_9,acute_9,chronic_9,aids_9,dead_9,susceptible_10,acute_10,chronic_10,aids_10,dead_10,susceptible_11,acute_11,chronic_11,aids_11,dead_11,susceptible_12,acute_12,chronic_12,aids_12,dead_12,susceptible_13,acute_13,chronic_13,aids_13,dead_13,susceptible_14,acute_14,chronic_14,aids_14,dead_14,susceptible_15,acute_15,chronic_15,aids_15,dead_15,susceptible_16,acute_16,chronic_16,aids_16,dead_16,susceptible_17,acute_17,chronic_17,aids_17,dead_17,susceptible_18,acute_18,chronic_18,aids_18,dead_18,susceptible_19,acute_19,chronic_19,aids_19,dead_19,susceptible_20,acute_20,chronic_20,aids_20,dead_20,susceptible_21,acute_21,chronic_21,aids_21,dead_21,susceptible_22,acute_22,chronic_22,aids_22,dead_22,susceptible_23,acute_23,chronic_23,aids_23,dead_23,susceptible_24,acute_24,chronic_24,aids_24,dead_24,susceptible_25,acute_25,chronic_25,aids_25,dead_25,susceptible_26,acute_26,chronic_26,aids_26,dead_26,susceptible_27,acute_27,chronic_27,aids_27,dead_27,susceptible_28,acute_28,chronic_28,aids_28,dead_28,susceptible_29,acute_29,chronic_29,aids_29,dead_29,susceptible_30,acute_30,chronic_30,aids_30,dead_30,susceptible_31,acute_31,chronic_31,aids_31,dead_31,susceptible_32,acute_32,chronic_32,aids_32,dead_32,susceptible_33,acute_33,chronic_33,aids_33,dead_33,susceptible_34,acute_34,chronic_34,aids_34,dead_34,susceptible_35,acute_35,chronic_35,aids_35,dead_35,susceptible_36,acute_36,chronic_36,aids_36,dead_36,susceptible_37,acute_37,chronic_37,aids_37,dead_37,susceptible_38,acute_38,chronic_38,aids_38,dead_38,susceptible_39,acute_39,chronic_39,aids_39,dead_39,susceptible_40,acute_40,chronic_40,aids_40,dead_40,susceptible_41,acute_41,chronic_41,aids_41,dead_41,susceptible_42,acute_42,chronic_42,aids_42,dead_42,susceptible_43,acute_43,chronic_43,aids_43,dead_43,susceptible_44,acute_44,chronic_44,aids_44,dead_44,susceptible_45,acute_45,chronic_45,aids_45,dead_45,susceptible_46,acute_46,chronic_46,aids_46,dead_46,susceptible_47,acute_47,chronic_47,aids_47,dead_47,susceptible_48,acute_48,chronic_48,aids_48,dead_48,susceptible_49,acute_49,chronic_49,aids_49,dead_49,susceptible_50,acute_50,chronic_50,aids_50,dead_50
10,targeted_female,0.7,875,125,0,0,0,878,122,0,0,0,870,130,0,0,0,872,128,0,0,0,872,128,0,0,0,869,131,0,0,0,870,130,0,0,0,873,127,0,0,0,867,133,0,0,0,874,126,0,0,0,876,124,0,0,0,875,125,0,0,0,873,127,0,0,0,876,124,0,0,0,867,133,0,0,0,875,125,0,0,0,875,125,0,0,0,876,124,0,0,0,873,127,0,0,0,864,136,0,0,0,878,122,0,0,0,874,126,0,0,0,876,124,0,0,0,876,124,0,0,0,874,126,0,0,0,877,123,0,0,0,874,126,0,0,0,874,126,0,0,0,873,127,0,0,0,873,127,0,0,0,875,125,0,0,0,873,127,0,0,0,870,130,0,0,0,872,128,0,0,0,870,130,0,0,0,872,128,0,0,0,873,127,0,0,0,870,130,0,0,0,870,130,0,0,0,875,125,0,0,0,875,125,0,0,0,867,133,0,0,0,880,120,0,0,0,869,131,0,0,0,878,122,0,0,0,874,126,0,0,0,876,124,0,0,0,877,123,0,0,0,870,130,0,0,0,874,126,0,0,0
11,targeted_female,0.7,875,125,0,0,0,877,123,0,0,0,868,132,0,0,0,869,131,0,0,0,870,130,0,0,0,869,131,0,0,0,867,133,0,0,0,872,128,0,0,0,866,134,0,0,0,874,126,0,0,0,875,125,0,0,0,874,126,0,0,0,872,128,0,0,0,874,126,0,0,0,865,135,0,0,0,874,126,0,0,0,875,125,0,0,0,872,128,0,0,0,871,129,0,0,0,863,137,0,0,0,874,126,0,0,0,872,128,0,0,0,874,126,0,0,0,876,124,0,0,0,872,128,0,0,0,876,124,0,0,0,869,131,0,0,0,873,127,0,0,0,873,127,0,0,0,871,129,0,0,0,874,126,0,0,0,872,128,0,0,0,870,130,0,0,0,870,130,0,0,0,869,131,0,0,0,870,130,0,0,0,872,128,0,0,0,870,130,0,0,0,869,131,0,0,0,874,126,0,0,0,875,125,0,0,0,866,134,0,0,0,880,120,0,0,0,869,131,0,0,0,878,122,0,0,0,873,127,0,0,0,875,125,0,0,0,877,123,0,0,0,868,132,0,0,0,874,126,0,0,0
12,targeted_female,0.7,874,126,0,0,0,875,125,0,0,0,866,134,0,0,0,868,132,0,0,0,868,132,0,0,0,868,132,0,0,0,866,134,0,0,0,871,129,0,0,0,865,135,0,0,0,873,127,0,0,0,875,125,0,0,0,873,127,0,0,0,871,129,0,0,0,873,127,0,0,0,864,136,0,0,0,872,128,0,0,0,874,126,0,0,0,870,130,0,0,0,870,130,0,0,0,863,137,0,0,0,872,128,0,0,0,872,128,0,0,0,870,130,0,0,0,873,127,0,0,0,868,132,0,0,0,876,124,0,0,0,868,132,0,0,0,873,127,0,0,0,873,127,0,0,0,870,130,0,0,0,872,128,0,0,0,871,129,0,0,0,870,130,0,0,0,870,130,0,0,0,868,132,0,0,0,868,132,0,0,0,870,130,0,0,0,870,130,0,0,0,868,132,0,0,0,873,127,0,0,0,875,125,0,0,0,866,134,0,0,0,880,120,0,0,0,868,132,0,0,0,877,123,0,0,0,871,129,0,0,0,874,126,0,0,0,877,123,0,0,0,867,133,0,0,0,874,126,0,0,0
13,targeted_female,0.7,874,16,110,0,0,875,15,110,0,0,865,25,110,0,0,867,23,110,0,0,868,22,110,0,0,867,23,110,0,0,865,25,110,0,0,871,19,110,0,0,865,25,110,0,0,873,17,110,0,0,875,15,110,0,0,873,17,110,0,0,871,19,110,0,0,873,17,110,0,0,864,26,110,0,0,872,18,110,0,0,874,16,110,0,0,870,20,110,0,0,870,20,110,0,0,861,29,110,0,0,872,18,110,0,0,872,18,110,0,0,870,20,110,0,0,873,17,110,0,0,868,22,110,0,0,876,14,110,0,0,868,22,110,0,0,873,17,110,0,0,873,17,110,0,0,870,20,110,0,0,872,18,110,0,0,871,19,110,0,0,870,20,110,0,0,869,21,110,0,0,868,22,110,0,0,868,22,110,0,0,870,20,110,0,0,870,20,110,0,0,868,22,110,0,0,873,17,110,0,0,874,16,110,0,0,865,25,110,0,0,880,10,110,0,0,868,22,110,0,0,877,13,110,0,0,871,19,110,0,0,874,16,110,0,0,877,13,110,0,0,867,23,110,0,0,874,16,110,0,0
14,targeted_female,0.7,874,12,114,0,0,875,11,114,0,0,864,22,114,0,0,867,18,115,0,0,868,19,113,0,0,867,17,116,0,0,865,22,113,0,0,871,15,114,0,0,865,21,114,0,0,873,13,114,0,0,875,15,110,0,0,873,16,111,0,0,871,17,112,0,0,873,15,112,0,0,864,24,112,0,0,872,13,115,0,0,874,11,115,0,0,870,17,113,0,0,870,19,111,0,0,861,24,115,0,0,872,14,114,0,0,872,14,114,0,0,870,16,114,0,0,873,15,112,0,0,867,21,112,0,0,876,12,112,0,0,868,15,117,0,0,873,14,113,0,0,873,14,113,0,0,870,19,111,0,0,872,16,112,0,0,871,17,112,0,0,870,19,111,0,0,868,21,111,0,0,868,19,113,0,0,868,20,112,0,0,870,16,114,0,0,870,19,111,0,0,868,18,114,0,0,873,15,112,0,0,874,14,112,0,0,865,19,116,0,0,880,9,111,0,0,868,19,113,0,0,877,10,113,0,0,871,17,112,0,0,874,14,112,0,0,877,11,112,0,0,867,20,113,0,0,874,13,113,0,0
15,targeted_female,0.7,874,10,116,0,0,875,9,116,0,0,864,20,116,0,0,867,14,119,0,0,868,17,115,0,0,867,14,119,0,0,865,19,116,0,0,871,13,116,0,0,865,15,120,0,0,873,11,116,0,0,875,13,112,0,0,872,15,113,0,0,870,17,113,0,0,873,14,113,0,0,864,20,116,0,0,872,12,116,0,0,874,8,118,0,0,870,16,114,0,0,870,16,114,0,0,861,20,119,0,0,872,12,116,0,0,872,13,115,0,0,870,14,116,0,0,873,14,113,0,0,867,18,115,0,0,876,8,116,0,0,868,14,118,0,0,873,14,113,0,0,873,11,116,0,0,870,19,111,0,0,872,13,115,0,0,870,15,115,0,0,869,18,113,0,0,868,17,115,0,0,868,15,117,0,0,867,19,114,0,0,870,14,116,0,0,869,17,114,0,0,868,17,115,0,0,872,14,114,0,0,874,14,112,0,0,865,17,118,0,0,880,7,113,0,0,868,17,115,0,0,877,10,113,0,0,871,14,115,0,0,874,13,113,0,0,877,8,115,0,0,867,17,116,0,0,874,11,115,0,0
16,targeted_female,0.7,874,7,119,0,0,875,8,117,0,0,864,17,119,0,0,867,14,119,0,0,868,16,116,0,0,867,12,121,0,0,865,14,121,0,0,871,13,116,0,0,864,16,120,0,0,873,8,119,0,0,875,10,115,0,0,872,13,115,0,0,869,14,117,0,0,873,13,114,0,0,864,19,117,0,0,871,12,117,0,0,874,5,121,0,0,870,13,117,0,0,870,13,117,0,0,861,17,122,0,0,872,12,116,0,0,872,10,118,0,0,870,14,116,0,0,873,11,116,0,0,867,13,120,0,0,876,7,117,0,0,868,12,120,0,0,873,11,116,0,0,873,9,118,0,0,870,13,117,0,0,872,9,119,0,0,870,14,116,0,0,869,14,117,0,0,868,15,117,0,0,868,12,120,0,0,867,18,115,0,0,870,13,117,0,0,869,12,119,0,0,868,14,118,0,0,872,12,116,0,0,874,13,113,0,0,865,13,122,0,0,880,6,114,0,0,868,15,117,0,0,877,7,116,0,0,871,13,116,0,0,874,13,113,0,0,877,6,117,0,0,867,15,118,0,0,874,6,120,0,0
17,targeted_female,0.7,874,6,120,0,0,875,8,117,0,0,864,15,121,0,0,867,13,120,0,0,868,14,118,0,0,867,11,122,0,0,865,11,124,0,0,871,11,118,0,0,864,14,122,0,0,873,6,121,0,0,875,9,116,0,0,872,9,119,0,0,869,12,119,0,0,873,11,116,0,0,864,15,121,0,0,871,10,119,0,0,874,4,122,0,0,870,12,118,0,0,870,11,119,0,0,861,16,123,0,0,872,11,117,0,0,872,7,121,0,0,870,13,117,0,0,873,9,118,0,0,867,13,120,0,0,876,6,118,0,0,867,11,122,0,0,873,9,118,0,0,873,4,123,0,0,869,10,121,0,0,872,8,120,0,0,870,12,118,0,0,869,12,119,0,0,868,14,118,0,0,868,9,123,0,0,867,17,116,0,0,870,11,119,0,0,869,10,121,0,0,868,13,119,0,0,872,8,120,0,0,874,10,116,0,0,865,13,122,0,0,880,2,118,0,0,868,11,121,0,0,877,6,117,0,0,871,10,119,0,0,874,12,114,0,0,877,5,118,0,0,867,13,120,0,0,874,5,121,0,0
18,targeted_female,0.7,874,5,121,0,0,875,6,119,0,0,864,13,123,0,0,867,9,124,0,0,868,10,122,0,0,867,8,125,0,0,865,10,125,0,0,871,10,119,0,0,864,13,123,0,0,873,5,122,0,0,875,7,118,0,0,872,8,120,0,0,869,11,120,0,0,873,10,117,0,0,864,13,123,0,0,871,7,122,0,0,874,4,122,0,0,870,10,120,0,0,870,8,122,0,0,861,13,126,0,0,872,11,117,0,0,872,6,122,0,0,870,10,120,0,0,873,9,118,0,0,867,13,120,0,0,875,6,119,0,0,867,10,123,0,0,873,9,118,0,0,873,3,124,0,0,869,9,122,0,0,872,8,120,0,0,870,11,119,0,0,869,11,120,0,0,867,13,120,0,0,868,6,126,0,0,867,16,117,0,0,870,6,124,0,0,869,8,123,0,0,867,10,123,0,0,872,6,122,0,0,874,7,119,0,0,865,12,123,0,0,880,2,118,0,0,868,9,123,0,0,877,3,120,0,0,870,11,119,0,0,874,11,115,0,0,877,5,118,0,0,867,11,122,0,0,874,4,122,0,0
19,targeted_female,0.7,873,6,121,0,0,875,6,119,0,0,864,11,125,0,0,867,8,125,0,0,868,7,125,0,0,867,8,125,0,0,865,10,125,0,0,869,12,119,0,0,864,11,125,0,0,873,5,122,0,0,875,5,120,0,0,872,8,120,0,0,869,10,121,0,0,873,7,120,0,0,864,12,124,0,0,871,6,123,0,0,874,4,122,0,0,870,9,121,0,0,870,7,123,0,0,861,9,130,0,0,872,8,120,0,0,872,5,123,0,0,870,9,121,0,0,872,8,120,0,0,867,11,122,0,0,875,6,119,0,0,867,9,124,0,0,872,9,119,0,0,873,2,125,0,0,869,8,123,0,0,872,5,123,0,0,870,6,124,0,0,869,7,124,0,0,867,12,121,0,0,868,6,126,0,0,867,13,120,0,0,870,6,124,0,0,869,8,123,0,0,867,9,124,0,0,872,6,122,0,0,874,6,120,0,0,865,11,124,0,0,880,1,119,0,0,868,7,125,0,0,877,2,121,0,0,870,8,122,0,0,874,10,116,0,0,877,3,120,0,0,867,7,126,0,0,874,3,123,0,0
20,targeted_female,0.7,873,6,121,0,0,875,6,119,0,0,864,11,125,0,0,867,8,125,0,0,868,6,126,0,0,867,7,126,0,0,865,7,128,0,0,869,11,120,0,0,864,8,128,0,0,873,4,123,0,0,875,4,121,0,0,871,8,121,0,0,868,10,122,0,0,872,6,122,0,0,864,8,128,0,0,871,5,124,0,0,874,4,122,0,0,870,9,121,0,0,870,7,123,0,0,860,8,132,0,0,872,8,120,0,0,872,4,124,0,0,870,9,121,0,0,872,6,122,0,0,867,10,123,0,0,875,5,120,0,0,867,9,124,0,0,872,6,122,0,0,873,1,126,0,0,869,7,124,0,0,872,4,124,0,0,870,3,127,0,0,869,5,126,0,0,866,10,124,0,0,868,5,127,0,0,867,9,124,0,0,870,6,124,0,0,869,5,126,0,0,867,7,126,0,0,872,6,122,0,0,874,4,122,0,0,865,7,128,0,0,880,1,119,0,0,868,6,126,0,0,877,1,122,0,0,869,7,124,0,0,874,8,118,0,0,877,2,121,0,0,867,6,127,0,0,874,3,123,0,0
